Timestamp;Bar1;Bar2;Bar3;Bar4;UpperIND1;UpperIND2;UpperIND3;UpperIND4;Hours;Timer;LowIND11;LowIND12;LowIND13;LowIND14;LowIND21;LowIND22;LowIND23;LowIND24;LowIND31;LowIND32;LowIND33;LowIND34;LowIND41;LowIND42;LowIND43;LowIND44;FlagIsOk
2020-12-06 12:57:59;9;2;3;0;true;true;true;true;80693;true;false;true;true;true;true;false;true;true;true;true;false;true;true;true;true;false;true
2020-12-06 12:58:00;9;2;3;0;true;true;true;true;80693;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
2020-12-06 12:58:00;9;2;3;0;true;true;true;true;80693;true;false;true;true;true;true;false;true;true;true;true;false;true;true;true;true;false;true
2020-12-06 12:58:01;9;2;3;0;true;true;true;true;80693;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
2020-12-06 12:58:02;9;2;3;0;true;true;true;true;80693;true;false;true;true;true;true;false;true;true;true;true;false;true;true;true;true;false;true
2020-12-06 12:58:03;9;2;3;0;true;true;true;true;80693;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
2020-12-06 12:58:04;9;2;3;0;true;true;true;true;80693;true;false;true;true;true;true;false;true;true;true;true;false;true;true;true;true;false;true
2020-12-06 12:58:05;9;2;3;0;true;true;true;true;80693;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
2020-12-06 12:58:06;9;2;3;0;true;true;true;true;80693;true;false;true;true;true;true;false;true;true;true;true;false;true;true;true;true;false;true
2020-12-06 12:58:07;9;2;3;0;true;true;true;true;80693;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
2020-12-06 12:58:08;9;2;3;0;true;true;true;true;80693;true;false;true;true;true;true;false;true;true;true;true;false;true;true;true;true;false;true
2020-12-06 12:58:09;9;2;3;0;true;true;true;true;80693;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
2020-12-06 12:58:10;9;2;3;0;true;true;true;true;80693;true;false;true;true;true;true;false;true;true;true;true;false;true;true;true;true;false;true
2020-12-06 12:58:11;9;2;3;0;true;true;true;true;80693;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
2020-12-06 12:58:11;9;2;3;0;true;true;true;true;80693;true;false;true;true;true;true;false;true;true;true;true;false;true;true;true;true;false;true
2020-12-06 12:58:12;9;2;3;0;true;true;true;true;80693;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
2020-12-06 12:58:13;9;2;3;0;true;true;true;true;80693;true;false;true;true;true;true;false;true;true;true;true;false;true;true;true;true;false;true
2020-12-06 12:58:14;9;2;3;0;true;true;true;true;80693;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
2020-12-06 12:58:15;9;2;3;0;true;true;true;true;80693;true;false;true;true;true;true;false;true;true;true;true;false;true;true;true;true;false;true
2020-12-06 12:58:16;9;2;3;0;true;true;true;true;80693;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
2020-12-06 12:58:17;9;2;3;0;true;true;true;true;80693;true;false;true;true;true;true;false;true;true;true;true;false;true;true;true;true;false;true
2020-12-06 12:58:18;9;2;3;0;true;true;true;true;80693;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
2020-12-06 12:58:19;9;2;3;0;true;true;true;true;80693;true;false;true;true;true;true;false;true;true;true;true;false;true;true;true;true;false;true
2020-12-06 12:58:20;9;2;3;0;true;true;true;true;80693;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
2020-12-06 12:58:21;9;2;3;0;true;true;true;true;80693;true;false;true;true;true;true;false;true;true;true;true;false;true;true;true;true;false;true
2020-12-06 12:58:22;9;2;3;0;true;true;true;true;80693;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
2020-12-06 12:58:23;9;2;3;0;true;true;true;true;80693;true;false;true;true;true;true;false;true;true;true;true;false;true;true;true;true;false;true
2020-12-06 12:58:23;9;2;3;0;true;true;true;true;80693;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
2020-12-06 12:58:24;9;2;3;0;true;true;true;true;80693;true;false;true;true;true;true;false;true;true;true;true;false;true;true;true;true;false;true
2020-12-06 12:58:25;9;2;3;0;true;true;true;true;80693;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
2020-12-06 12:58:26;9;2;3;0;true;true;true;true;80693;true;false;true;true;true;true;false;true;true;true;true;false;true;true;true;true;false;true
2020-12-06 12:58:27;9;2;3;0;true;true;true;true;80693;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
2020-12-06 12:58:28;9;2;3;0;true;true;true;true;80693;true;false;true;true;true;true;false;true;true;true;true;false;true;true;true;true;false;true
2020-12-06 12:58:29;9;2;3;0;true;true;true;true;80693;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
2020-12-06 12:58:30;9;2;3;0;true;true;true;true;80693;true;false;true;true;true;true;false;true;true;true;true;false;true;true;true;true;false;true
